Time(s);Current(A)
2.75000e-06;-0.007438947633528431
2.75025e-06;-0.00743591285239601
2.75050e-06;-0.007432878071263583
2.75075e-06;-0.007429843290131157
2.75100e-06;-0.0074268085089987355
2.75125e-06;-0.00742377372786631
2.75150e-06;-0.007420738946733884
2.75175e-06;-0.007417704165601457
2.75200e-06;-0.007414669384469036
2.75225e-06;-0.007411634603336609
2.75250e-06;-0.007408599822204183
2.75275e-06;-0.007401569594055102
2.75300e-06;-0.00739265320042312
2.75325e-06;-0.0073837368067911375
2.75350e-06;-0.00737482041315917
2.75375e-06;-0.007365904019527187
2.75400e-06;-0.007356987625895204
2.75425e-06;-0.007348071232263221
2.75450e-06;-0.0073391548386312535
2.75475e-06;-0.007330238444999271
2.75500e-06;-0.007321322051367289
2.75525e-06;-0.007312404138859218
2.75550e-06;-0.007303479274626676
2.75575e-06;-0.007294554410394134
2.75600e-06;-0.007285629546161592
2.75625e-06;-0.007277584076738493
2.75650e-06;-0.00726995375088467
2.75675e-06;-0.0072623234250308475
2.75700e-06;-0.00725419127364589
2.75725e-06;-0.007243762323455346
2.75750e-06;-0.007233333373264802
2.75775e-06;-0.007221859802118377
2.75800e-06;-0.007205605118782755
2.75825e-06;-0.007189350435447133
2.75850e-06;-0.007172198617206057
2.75875e-06;-0.007150940713779207
2.75900e-06;-0.007129682810352322
2.75925e-06;-0.007106652334053635
2.75950e-06;-0.00707550899182423
2.75975e-06;-0.007044365649594772
2.76000e-06;-0.007013222307365314
2.76025e-06;-0.006982078965135857
2.76050e-06;-0.006950935622906451
2.76075e-06;-0.006912578712607254
2.76100e-06;-0.006870816430382042
2.76125e-06;-0.0068290541481569
2.76150e-06;-0.006787291865931688
2.76175e-06;-0.006745529583706476
2.76200e-06;-0.006702640976052004
2.76225e-06;-0.006654597304056603
2.76250e-06;-0.006606553632061201
2.76275e-06;-0.006558184775451666
2.76300e-06;-0.006508327585572929
2.76325e-06;-0.006458269331487964
2.76350e-06;-0.006407290829229305
2.76375e-06;-0.006356284354998533
2.76400e-06;-0.006305149856208627
2.76425e-06;-0.006254129792009467
2.76450e-06;-0.006203781775215688
2.76475e-06;-0.006154301854093092
2.76500e-06;-0.006105898760379297
2.76525e-06;-0.006058694323953898
2.76550e-06;-0.006012861379159696
2.76575e-06;-0.005968681285020937
2.76600e-06;-0.005926472255193779
2.76625e-06;-0.005886553184161667
2.76650e-06;-0.005849242500746562
2.76675e-06;-0.005814833118581997
2.76700e-06;-0.0057834565786541395
2.76725e-06;-0.005755280896369989
2.76750e-06;-0.005730611558352287
2.76775e-06;-0.0057070037775541396
2.76800e-06;-0.005688254624312656
2.76825e-06;-0.005670635204754268
2.76850e-06;-0.005658186448730026
2.76875e-06;-0.005647156205689959
2.76900e-06;-0.00564261833644514
2.76925e-06;-0.005638080467200321
2.76950e-06;-0.00563568693617596
2.76975e-06;-0.005643107799116176
2.77000e-06;-0.005650528662056404
2.77025e-06;-0.005657949524996632
2.77050e-06;-0.005665370387936847
2.77075e-06;-0.005672791250877075
2.77100e-06;-0.005689033208696738
2.77125e-06;-0.005709439417629141
2.77150e-06;-0.005729845626561509
2.77175e-06;-0.005750251835493912
2.77200e-06;-0.005770658044426315
2.77225e-06;-0.005792622542705405
2.77250e-06;-0.005821719155412185
2.77275e-06;-0.005850815768118966
2.77300e-06;-0.005879912380825697
2.77325e-06;-0.005909008993532477
2.77350e-06;-0.0059381056062392575
2.77375e-06;-0.005967651412636889
2.77400e-06;-0.005999253127848903
2.77425e-06;-0.0060308548430609695
2.77450e-06;-0.006062456558273036
2.77475e-06;-0.00609405827348505
2.77500e-06;-0.006125659988697117
2.77525e-06;-0.006156750150811666
2.77550e-06;-0.006185498992147043
2.77575e-06;-0.00621424783348237
2.77600e-06;-0.006242163861532086
2.77625e-06;-0.006266268197187855
2.77650e-06;-0.006290372532843583
2.77675e-06;-0.006313397734861517
2.77700e-06;-0.006331483864040121
2.77725e-06;-0.006349569993218694
2.77750e-06;-0.0063661907679971675
2.77775e-06;-0.006376104781106823
2.77800e-06;-0.0063860187942164776
2.77825e-06;-0.0063959328073261166
2.77850e-06;-0.006405846820435772
2.77875e-06;-0.0064137786030792005
2.77900e-06;-0.006414097926633597
2.77925e-06;-0.006414417250187993
2.77950e-06;-0.0064147365737423885
2.77975e-06;-0.006415055897296785
2.78000e-06;-0.006413493300502005
2.78025e-06;-0.0064057661630484725
2.78050e-06;-0.00639803902559494
2.78075e-06;-0.006385998523925608
2.78100e-06;-0.006373954591814629
2.78125e-06;-0.006358044591390023
2.78150e-06;-0.006340943861195555
2.78175e-06;-0.006323843131001057
2.78200e-06;-0.0063067424008065595
2.78225e-06;-0.006289641670612062
2.78250e-06;-0.006272540940417594
2.78275e-06;-0.006254037161145366
2.78300e-06;-0.00623163247724824
2.78325e-06;-0.0062092277933511525
2.78350e-06;-0.006186823109454028
2.78375e-06;-0.006164418425556902
2.78400e-06;-0.006142013741659776
2.78425e-06;-0.0061196090577626885
2.78450e-06;-0.006096627525668947
2.78475e-06;-0.006073468327205984
2.78500e-06;-0.00605030912874306
2.78525e-06;-0.0060281122294056555
2.78550e-06;-0.006006211713402285
2.78575e-06;-0.005985532494901809
2.78600e-06;-0.005965229429944548
2.78625e-06;-0.005946454900427752
2.78650e-06;-0.0059281511522075465
2.78675e-06;-0.005912109501154879
2.78700e-06;-0.005896764564754227
2.78725e-06;-0.005884454982532072
2.78750e-06;-0.005873080274267025
2.78775e-06;-0.005865815125592272
2.78800e-06;-0.005859815700787025
2.78825e-06;-0.005853816275981778
2.78850e-06;-0.0058527185363881525
2.78875e-06;-0.005853130491406991
2.78900e-06;-0.005853542446425829
2.78925e-06;-0.005861712841724664
2.78950e-06;-0.005872272797957371
2.78975e-06;-0.005882832754190077
2.79000e-06;-0.005893392710422766
2.79025e-06;-0.005903952666655473
2.79050e-06;-0.00591451262288818
2.79075e-06;-0.005933798124681877
2.79100e-06;-0.005955771051015393
2.79125e-06;-0.0059777439773489455
2.79150e-06;-0.005999716903682498
2.79175e-06;-0.0060216898300160145
2.79200e-06;-0.006043662756349567
2.79225e-06;-0.00607153807388158
2.79250e-06;-0.006101231298481963
2.79275e-06;-0.006130924523082296
2.79300e-06;-0.006160617747682679
2.79325e-06;-0.006190310972283062
2.79350e-06;-0.006220004196883395
2.79375e-06;-0.006249697421483779
2.79400e-06;-0.00628009768495332
2.79425e-06;-0.006310715712870244
2.79450e-06;-0.006341333740787221
2.79475e-06;-0.0063719517687041965
2.79500e-06;-0.006402569796621173
2.79525e-06;-0.0064331878245380975
2.79550e-06;-0.006463805852455074
2.79575e-06;-0.006490934713229311
2.79600e-06;-0.006516988927915422
2.79625e-06;-0.006543043142601577
2.79650e-06;-0.0065648741113536226
2.79675e-06;-0.0065854043414088756
2.79700e-06;-0.006605934571464094
2.79725e-06;-0.00662031482126508
2.79750e-06;-0.006632800907802521
2.79775e-06;-0.0066452869943399405
2.79800e-06;-0.006650886631468726
2.79825e-06;-0.006654365276505348
2.79850e-06;-0.006657843921541964
2.79875e-06;-0.006651253212400763
2.79900e-06;-0.006641561192363801
2.79925e-06;-0.006631869172326839
2.79950e-06;-0.006622177152289893
2.79975e-06;-0.006612485132252931
2.80000e-06;-0.006598575399174828
2.80025e-06;-0.0065729391366604936
2.80050e-06;-0.006547302874146115
2.80075e-06;-0.006521666611631737
2.80100e-06;-0.006496030349117358
2.80125e-06;-0.006470394086603023
2.80150e-06;-0.006435955522085541
2.80175e-06;-0.006398805892426425
2.80200e-06;-0.006361656262767372
2.80225e-06;-0.0063245066331082565
2.80250e-06;-0.006285666961891796
2.80275e-06;-0.006242128459370876
